 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,993,999,1000,1000,1000
0.001,955,996,1000,1000,1000
0.0001,668,977,1000,1000,1000
1e-05,38,822,1000,1000,1000
1e-06,0,69,1000,1000,1000
1e-07,0,0,365,15,0
1e-08,0,0,0,0,0
