 ,gs,mgs,sciQR,re_orth,torch_qr
0.01,1000,1000,1000,1000,1000
0.001,999,1000,1000,1000,1000
0.0001,992,999,1000,1000,1000
1e-05,954,976,1000,1000,1000
1e-06,597,785,1000,1000,1000
1e-07,24,53,1000,877,419
1e-08,0,0,2,0,0
